car_id, route_cluster1
20150001010009-284,0
20150001050042-811,1
20150001060025-421,2
20150001070000-174,3
20150001070006-104,4
20150001080008-525,5
20150001080044-124,5
20150001090048-374,6
20150001100019-538,7
20150001110028-155,2
20150001120031-180,1
20150002060008-683,8
20150002060024-302,9
20150002070024-376,10
20150002080017-383,11
20150002080040-921,12
20150002080057-495,8
20150002120037-795,13
20150003010039-281,14
20150003020050-522,11
20150003040042-47,15
20150003060007-767,3
20150003080058-668,16
20150003090016-90,12
20150003090030-424,17
20150004010010-724,18
20150004010027-232,6
20150004010051-792,19
20150004030017-259,20
20150004030033-995,21
20150004050003-330,22
20150004050011-484,23
20150004070037-579,23
20150004100026-651,8
20150004110002-747,24
20150004120029-367,11
20150005020044-437,25
20150005030012-864,8
20150005080045-118,26
20150005110029-714,27
20150005120027-336,6
20150006010020-419,20
20150006030021-893,6
20150006030042-85,21
20150006040002-269,24
20150006070008-822,28
20150006070032-991,13
20150006080007-531,29
20150007020012-126,30
20150007030049-86,3
20150007040000-591,31
20150007040001-180,19
20150007040010-264,32
20150007050005-262,33
20150007060003-154,21
20150007070026-475,6
20150007080020-82,34
20150007090049-931,35
20150007110022-413,36
20150007120029-935,14
20150008010008-348,6
20150008010023-545,36
20150008010052-816,23
20150008060003-21,37
20150008060048-631,15
20150008080010-6,2
20150008080048-814,11
20150008110047-331,23
20150009030033-322,3
20150009040035-292,30
20150009060037-852,37
20150009080021-959,6
20150009100056-432,38
20150009110038-258,17
20150010010032-566,2
20150010020057-694,39
20150010030002-664,40
20150010030024-367,22
20150010040007-631,41
20150010040037-125,42
20150010050052-231,43
20150010070052-300,44
20150010080005-370,20
20150010080038-54,1
20150010100022-558,6
20150010120011-538,1
20150010120016-560,8
20150010120021-402,45
20150010120037-8,46
20150011020058-334,47
20150011060014-975,22
20150011070002-311,48
20150011070040-794,36
20150011120023-724,39
20150012040030-974,21
20150012080004-451,34
20150013020033-816,49
20150013030032-591,50
20150013030046-227,6
20150013040059-365,51
20150013050035-283,52
20150013060021-372,24
20150013090012-973,1
20150013090015-853,6
20150013110015-112,19
20150013110026-772,1
20150013110026-797,39
20150014010052-857,12
20150014010056-634,24
20150014020055-887,6
20150014030027-293,17
20150014030033-497,53
20150014040019-114,-1
20150014080042-626,54
20150014100049-755,55
20150014120010-306,8
20150015040031-221,2
20150015070013-394,0
20150015080046-446,1
20150015120027-493,6
20150016010039-314,35
20150016010043-705,56
20150016030059-807,2
20150016040038-159,3
20150016040041-1,55
20150016070028-165,57
20150016070034-393,39
20150016070037-632,58
20150016090024-567,56
20150016090035-720,19
20150016090054-771,32
20150016110047-767,12
20150016120041-181,59
20150016120045-845,10
20150017040038-392,60
20150017050047-192,24
20150017060051-822,3
20150017070009-324,49
20150017100000-961,20
20150017120018-349,8
20150017120055-53,30
20150018020030-238,61
20150018030025-615,21
20150018050050-556,62
20150018070004-166,12
20150018080022-664,63
20150018100013-569,47
20150018110014-26,64
20150018110057-525,65
20150019010004-372,66
20150019010017-785,67
20150019010055-677,68
20150019030052-865,12
20150019040039-358,69
20150019040047-472,70
20150019050058-11,71
20150019090006-7,59
20150019120036-151,2
20150020030052-644,62
20150020040021-389,31
20150020070057-880,24
20150020090018-839,32
20150020100002-73,2
20150020120003-629,51
20150021030032-233,24
20150021050036-788,72
20150021080000-521,56
20150021110008-649,3
20150021110015-325,14
20150022010045-622,24
20150022040009-518,16
20150022080040-235,73
20150022090025-737,74
20150022110023-715,75
20150022120004-986,14
20150023030012-350,37
20150023080039-257,68
20150024010014-301,9
20150024010045-514,76
20150024030045-709,23
20150024040008-576,45
20150024060019-914,77
20150024060036-489,78
20150024070035-193,12
20150024090008-901,55
20150024110011-994,60
20150024110030-386,13
20150024110036-855,79
20150024120030-790,2
20150024120054-586,21
20150024120056-588,30
20150025040004-379,80
20150025070013-240,21
20150025100027-993,6
20150025100041-260,81
20150026020037-148,23
20150026060010-577,21
20150026070015-698,82
20150026110014-327,75
20150026110019-851,83
20150026120010-942,84
20150026120014-798,22
20150027070016-18,1
20150027080052-161,85
20150027100028-509,19
20150027100030-310,74
20150027100037-189,75
20150027110055-293,24
20150027120012-20,9
20150028030041-325,76
20150028030051-590,86
20150028040010-50,87
20150028050007-273,11
20150028060003-741,88
20150028060011-953,89
20150028060051-703,1
20150028100038-378,1
20150028120058-137,6
20150029020040-164,54
20150029030057-969,20
20150029080012-457,39
20150029090022-198,38
20150029110001-754,2
20150030030022-184,3
20150030050037-993,90
20150030050049-156,91
20150030060046-176,71
20150030070026-128,49
20150030080014-34,31
20150030090034-886,33
20150030090047-958,2
20150030100046-714,92
20150030120002-677,4
20150030120023-694,72
20150031010000-784,24
20150031030030-236,93
20150031040021-961,64
20150031050048-776,58
20150031060051-429,77
20150031070053-947,94
20150031100003-289,14
20150101010137-533,8
20150101020154-96,8
20150101030146-497,21
20150101040141-397,3
20150101050138-171,2
20150101060136-731,23
20150101110137-214,31
20150102010156-22,6
20150102020155-899,9
20150102080136-341,95
20150102080153-960,59
20150102100120-757,4
20150102120122-682,3
20150102120151-257,1
20150103020130-343,65
20150103030112-131,41
20150103040138-632,27
