car_id,route_type_csv
20150001010009-284,camper
20150001050042-811,camper
20150001060025-421,transit
20150001070000-174,transit
20150001070006-104,camper
20150001080008-525,camper
20150001080044-124,camper
20150001090048-374,camper
20150001100019-538,camper
20150001110028-155,transit
20150001120031-180,ranger
20150002060008-683,transit
20150002060024-302,none
20150002070024-376,camper
20150002080017-383,camper
20150002080040-921,transit
20150002080057-495,transit
20150002120037-795,camper
20150003010039-281,transit
20150003020050-522,camper
20150003040042-47,camper
20150003060007-767,transit
20150003080058-668,camper
20150003090016-90,transit
20150003090030-424,camper
20150004010010-724,camper
20150004010027-232,transit
20150004010051-792,none
20150004030017-259,camper
20150004030033-995,transit
20150004050003-330,transit
20150004050011-484,transit
20150004070037-579,transit
20150004100026-651,transit
20150004110002-747,transit
20150004120029-367,camper
20150005020044-437,camper
20150005030012-864,transit
20150005080045-118,none
20150005110029-714,camper
20150005120027-336,transit
20150006010020-419,camper
20150006030021-893,transit
20150006030042-85,transit
20150006040002-269,transit
20150006070008-822,none
20150006070032-991,camper
20150006080007-531,camper
20150007020012-126,camper
20150007030049-86,transit
20150007040000-591,none
20150007040001-180,none
20150007040010-264,none
20150007050005-262,ranger
20150007060003-154,transit
20150007070026-475,transit
20150007080020-82,none
20150007090049-931,camper
20150007110022-413,camper
20150007120029-935,transit
20150008010008-348,transit
20150008010023-545,camper
20150008010052-816,transit
20150008060003-21,camper
20150008060048-631,none
20150008080010-6,transit
20150008080048-814,camper
20150008110047-331,transit
20150009030033-322,transit
20150009040035-292,camper
20150009060037-852,camper
20150009080021-959,transit
20150009100056-432,none
20150009110038-258,none
20150010010032-566,transit
20150010020057-694,camper
20150010030002-664,camper
20150010030024-367,transit
20150010040007-631,camper
20150010040037-125,camper
20150010050052-231,camper
20150010070052-300,camper
20150010080005-370,camper
20150010080038-54,camper
20150010100022-558,none
20150010120011-538,ranger
20150010120016-560,transit
20150010120021-402,none
20150010120037-8,camper
20150011020058-334,camper
20150011060014-975,transit
20150011070002-311,camper
20150011070040-794,none
20150011120023-724,camper
20150012040030-974,transit
20150012080004-451,none
20150013020033-816,camper
20150013030032-591,none
20150013030046-227,transit
20150013040059-365,none
20150013050035-283,none
20150013060021-372,transit
20150013090012-973,ranger
20150013090015-853,transit
20150013110015-112,camper
20150013110026-772,ranger
20150013110026-797,camper
20150014010052-857,transit
20150014010056-634,transit
20150014020055-887,transit
20150014030027-293,camper
20150014030033-497,none
20150014040019-114,ranger
20150014080042-626,none
20150014100049-755,camper
20150014120010-306,transit
20150015040031-221,transit
20150015070013-394,none
20150015080046-446,ranger
20150015120027-493,transit
20150016010039-314,camper
20150016010043-705,none
20150016030059-807,transit
20150016040038-159,transit
20150016040041-1,none
20150016070028-165,none
20150016070034-393,none
20150016070037-632,camper
20150016090024-567,none
20150016090035-720,camper
20150016090054-771,none
20150016110047-767,transit
20150016120041-181,camper
20150016120045-845,none
20150017040038-392,camper
20150017050047-192,transit
20150017060051-822,transit
20150017070009-324,none
20150017100000-961,camper
20150017120018-349,transit
20150017120055-53,camper
20150018020030-238,camper
20150018030025-615,transit
20150018050050-556,camper
20150018070004-166,transit
20150018080022-664,camper
20150018100013-569,camper
20150018110014-26,none
20150018110057-525,camper
20150019010004-372,camper
20150019010017-785,camper
20150019010055-677,camper
20150019030052-865,transit
20150019040039-358,camper
20150019040047-472,none
20150019050058-11,camper
20150019090006-7,none
20150019120036-151,transit
20150020030052-644,camper
20150020040021-389,camper
20150020070057-880,transit
20150020090018-839,camper
20150020100002-73,transit
20150020120003-629,none
20150021030032-233,transit
20150021050036-788,camper
20150021080000-521,camper
20150021110008-649,transit
20150021110015-325,transit
20150022010045-622,transit
20150022040009-518,camper
20150022080040-235,camper
20150022090025-737,camper
20150022110023-715,camper
20150022120004-986,transit
20150023030012-350,camper
20150023080039-257,none
20150024010014-301,camper
20150024010045-514,camper
20150024030045-709,transit
20150024040008-576,camper
20150024060019-914,camper
20150024060036-489,none
20150024070035-193,transit
20150024090008-901,camper
20150024110011-994,none
20150024110030-386,none
20150024110036-855,camper
20150024120030-790,transit
20150024120054-586,transit
20150024120056-588,camper
