car_id,sgt_route_cluster_1
20150001010009-284,0
20150001050042-811,1
20150001060025-421,2
20150001070000-174,3
20150001070006-104,4
20150001080008-525,5
20150001080044-124,5
20150001090048-374,6
20150001100019-538,7
20150001110028-155,8
20150001120031-180,9
20150002060008-683,10
20150002060024-302,11
20150002070024-376,12
20150002080017-383,13
20150002080040-921,14
20150002080057-495,10
20150002120037-795,15
20150003010039-281,16
20150003020050-522,17
20150003040042-47,18
20150003060007-767,69
20150003080058-668,19
20150003090016-90,20
20150003090030-424,21
20150004010010-724,22
20150004010027-232,23
20150004010051-792,24
20150004030017-259,25
20150004030033-995,26
20150004050003-330,27
20150004050011-484,28
20150004070037-579,-1
20150004100026-651,10
20150004110002-747,29
20150004120029-367,13
20150005020044-437,30
20150005030012-864,31
20150005080045-118,32
20150005110029-714,33
20150005120027-336,23
20150006010020-419,25
20150006030021-893,34
20150006030042-85,35
20150006040002-269,36
20150006070008-822,37
20150006070032-991,15
20150006080007-531,38
20150007020012-126,39
20150007030049-86,-1
20150007040000-591,40
20150007040001-180,24
20150007040010-264,41
20150007050005-262,42
20150007060003-154,26
20150007070026-475,23
20150007080020-82,43
20150007090049-931,44
20150007110022-413,45
20150007120029-935,-1
20150008010008-348,23
20150008010023-545,46
20150008010052-816,28
20150008060003-21,47
20150008060048-631,18
20150008080010-6,2
20150008080048-814,17
20150008110047-331,48
20150009030033-322,3
20150009040035-292,39
20150009060037-852,47
20150009080021-959,23
20150009100056-432,49
20150009110038-258,21
20150010010032-566,2
20150010020057-694,50
20150010030002-664,51
20150010030024-367,27
20150010040007-631,52
20150010040037-125,53
20150010050052-231,54
20150010070052-300,55
20150010080005-370,25
20150010080038-54,56
20150010100022-558,6
20150010120011-538,9
20150010120016-560,10
20150010120021-402,57
20150010120037-8,58
20150011020058-334,59
20150011060014-975,27
20150011070002-311,60
20150011070040-794,45
20150011120023-724,50
20150012040030-974,26
20150012080004-451,43
20150013020033-816,61
20150013030032-591,62
20150013030046-227,34
20150013040059-365,63
20150013050035-283,64
20150013060021-372,36
20150013090012-973,9
20150013090015-853,34
20150013110015-112,24
20150013110026-772,9
20150013110026-797,50
20150014010052-857,20
20150014010056-634,36
20150014020055-887,34
20150014030027-293,21
20150014030033-497,65
20150014040019-114,-1
20150014080042-626,66
20150014100049-755,67
20150014120010-306,10
20150015040031-221,8
20150015070013-394,0
20150015080046-446,9
20150015120027-493,34
20150016010039-314,44
20150016010043-705,68
20150016030059-807,8
20150016040038-159,69
20150016040041-1,67
20150016070028-165,70
20150016070034-393,50
20150016070037-632,71
20150016090024-567,68
20150016090035-720,24
20150016090054-771,41
20150016110047-767,20
20150016120041-181,72
20150016120045-845,12
20150017040038-392,73
20150017050047-192,36
20150017060051-822,69
20150017070009-324,61
20150017100000-961,25
20150017120018-349,10
20150017120055-53,39
20150018020030-238,74
20150018030025-615,26
20150018050050-556,75
20150018070004-166,20
20150018080022-664,76
20150018100013-569,59
20150018110014-26,77
20150018110057-525,78
20150019010004-372,79
20150019010017-785,80
20150019010055-677,81
20150019030052-865,20
20150019040039-358,82
20150019040047-472,83
20150019050058-11,84
20150019090006-7,72
20150019120036-151,8
20150020030052-644,75
20150020040021-389,40
20150020070057-880,29
20150020090018-839,41
20150020100002-73,8
20150020120003-629,63
20150021030032-233,29
20150021050036-788,85
20150021080000-521,68
20150021110008-649,69
20150021110015-325,16
20150022010045-622,36
20150022040009-518,19
20150022080040-235,86
20150022090025-737,87
20150022110023-715,88
20150022120004-986,16
20150023030012-350,47
20150023080039-257,81
20150024010014-301,11
20150024010045-514,89
20150024030045-709,48
20150024040008-576,57
20150024060019-914,90
20150024060036-489,91
20150024070035-193,20
20150024090008-901,67
20150024110011-994,73
20150024110030-386,15
20150024110036-855,92
20150024120030-790,8
20150024120054-586,26
20150024120056-588,39
20150025040004-379,93
20150025070013-240,26
20150025100027-993,34
20150025100041-260,94
20150026020037-148,48
20150026060010-577,26
20150026070015-698,95
20150026110014-327,88
20150026110019-851,96
20150026120010-942,97
20150026120014-798,27
20150027070016-18,98
20150027080052-161,99
20150027100028-509,24
20150027100030-310,87
20150027100037-189,88
20150027110055-293,36
20150027120012-20,11
20150028030041-325,89
20150028030051-590,100
20150028040010-50,101
20150028050007-273,102
20150028060003-741,103
20150028060011-953,104
20150028060051-703,9
20150028100038-378,9
20150028120058-137,34
20150029020040-164,66
20150029030057-969,25
20150029080012-457,50
20150029090022-198,49
20150029110001-754,8
20150030030022-184,69
20150030050037-993,105
20150030050049-156,106
20150030060046-176,84
20150030070026-128,61
20150030080014-34,40
20150030090034-886,42
20150030090047-958,8
20150030100046-714,107
20150030120002-677,4
20150030120023-694,85
20150031010000-784,36
20150031030030-236,108
20150031040021-961,77
20150031050048-776,71
20150031060051-429,90
20150031070053-947,109
20150031100003-289,16
20150101010137-533,10
20150101020154-96,10
20150101030146-497,26
20150101040141-397,69
20150101050138-171,8
20150101060136-731,48
20150101110137-214,40
20150102010156-22,34
20150102020155-899,11
20150102080136-341,110
20150102080153-960,72
20150102100120-757,4
20150102120122-682,69
20150102120151-257,56
20150103020130-343,78
20150103030112-131,52
