car_id, route_cluster2
20150001010009-284,0
20150001050042-811,1
20150001060025-421,2
20150001070000-174,2
20150001070006-104,2
20150001080008-525,1
20150001080044-124,1
20150001090048-374,0
20150001100019-538,0
20150001110028-155,0
20150001120031-180,1
20150002060008-683,1
20150002060024-302,1
20150002070024-376,0
20150002080017-383,1
20150002080040-921,2
20150002080057-495,1
20150002120037-795,2
20150003010039-281,0
20150003020050-522,1
20150003040042-47,2
20150003060007-767,0
20150003080058-668,1
20150003090016-90,0
20150003090030-424,1
20150004010010-724,1
20150004010027-232,1
20150004010051-792,1
20150004030017-259,1
20150004030033-995,1
20150004050003-330,1
20150004050011-484,2
20150004070037-579,2
20150004100026-651,1
20150004110002-747,2
20150004120029-367,1
20150005020044-437,2
20150005030012-864,1
20150005080045-118,0
20150005110029-714,1
20150005120027-336,1
20150006010020-419,1
20150006030021-893,1
20150006030042-85,1
20150006040002-269,0
20150006070008-822,1
20150006070032-991,0
20150006080007-531,1
20150007020012-126,0
20150007030049-86,0
20150007040000-591,0
20150007040001-180,1
20150007040010-264,1
20150007050005-262,1
20150007060003-154,1
20150007070026-475,1
20150007080020-82,1
20150007090049-931,1
20150007110022-413,0
20150007120029-935,2
20150008010008-348,1
20150008010023-545,2
20150008010052-816,2
20150008060003-21,0
20150008060048-631,2
20150008080010-6,0
20150008080048-814,1
20150008110047-331,2
20150009030033-322,2
20150009040035-292,2
20150009060037-852,0
20150009080021-959,1
20150009100056-432,1
20150009110038-258,1
20150010010032-566,0
20150010020057-694,1
20150010030002-664,2
20150010030024-367,1
20150010040007-631,0
20150010040037-125,1
20150010050052-231,1
20150010070052-300,2
20150010080005-370,1
20150010080038-54,2
20150010100022-558,0
20150010120011-538,1
20150010120016-560,1
20150010120021-402,0
20150010120037-8,1
20150011020058-334,2
20150011060014-975,1
20150011070002-311,0
20150011070040-794,0
20150011120023-724,1
20150012040030-974,1
20150012080004-451,1
20150013020033-816,1
20150013030032-591,2
20150013030046-227,1
20150013040059-365,1
20150013050035-283,1
20150013060021-372,2
20150013090012-973,1
20150013090015-853,1
20150013110015-112,1
20150013110026-772,1
20150013110026-797,1
20150014010052-857,2
20150014010056-634,0
20150014020055-887,1
20150014030027-293,1
20150014030033-497,1
20150014040019-114,1
20150014080042-626,1
20150014100049-755,0
20150014120010-306,1
20150015040031-221,0
20150015070013-394,2
20150015080046-446,1
20150015120027-493,1
20150016010039-314,1
20150016010043-705,1
20150016030059-807,2
20150016040038-159,2
20150016040041-1,2
20150016070028-165,1
20150016070034-393,1
20150016070037-632,1
20150016090024-567,1
20150016090035-720,1
20150016090054-771,1
20150016110047-767,2
20150016120041-181,1
20150016120045-845,2
20150017040038-392,1
20150017050047-192,2
20150017060051-822,0
20150017070009-324,1
20150017100000-961,1
20150017120018-349,1
20150017120055-53,0
20150018020030-238,0
20150018030025-615,1
20150018050050-556,0
20150018070004-166,0
20150018080022-664,1
20150018100013-569,2
20150018110014-26,2
20150018110057-525,0
20150019010004-372,1
20150019010017-785,0
20150019010055-677,1
20150019030052-865,0
20150019040039-358,1
20150019040047-472,2
20150019050058-11,0
20150019090006-7,1
20150019120036-151,0
20150020030052-644,0
20150020040021-389,0
20150020070057-880,2
20150020090018-839,1
20150020100002-73,0
20150020120003-629,1
20150021030032-233,0
20150021050036-788,1
20150021080000-521,1
20150021110008-649,2
20150021110015-325,0
20150022010045-622,2
20150022040009-518,1
20150022080040-235,1
20150022090025-737,1
20150022110023-715,2
20150022120004-986,2
20150023030012-350,2
20150023080039-257,1
20150024010014-301,1
20150024010045-514,2
20150024030045-709,2
20150024040008-576,0
20150024060019-914,2
20150024060036-489,2
20150024070035-193,2
20150024090008-901,0
20150024110011-994,1
20150024110030-386,2
20150024110036-855,0
20150024120030-790,2
20150024120054-586,1
20150024120056-588,0
20150025040004-379,1
20150025070013-240,1
20150025100027-993,1
20150025100041-260,0
20150026020037-148,0
20150026060010-577,1
20150026070015-698,1
20150026110014-327,0
20150026110019-851,2
20150026120010-942,1
20150026120014-798,1
20150027070016-18,1
20150027080052-161,1
20150027100028-509,1
20150027100030-310,1
20150027100037-189,2
20150027110055-293,2
20150027120012-20,1
20150028030041-325,0
20150028030051-590,1
20150028040010-50,1
20150028050007-273,1
20150028060003-741,1
20150028060011-953,2
20150028060051-703,2
20150028100038-378,1
20150028120058-137,1
20150029020040-164,1
20150029030057-969,1
20150029080012-457,1
20150029090022-198,1
20150029110001-754,0
20150030030022-184,0
20150030050037-993,1
20150030050049-156,1
20150030060046-176,0
20150030070026-128,1
20150030080014-34,0
20150030090034-886,1
20150030090047-958,0
20150030100046-714,2
20150030120002-677,0
20150030120023-694,1
20150031010000-784,0
20150031030030-236,1
20150031040021-961,0
20150031050048-776,1
20150031060051-429,0
20150031070053-947,1
20150031100003-289,2
20150101010137-533,1
20150101020154-96,1
20150101030146-497,1
20150101040141-397,2
20150101050138-171,2
20150101060136-731,2
20150101110137-214,0
20150102010156-22,1
20150102020155-899,1
20150102080136-341,1
20150102080153-960,1
20150102100120-757,2
20150102120122-682,0
20150102120151-257,0
20150103020130-343,2
20150103030112-131,0
20150103040138-632,1
